# Source File Name = manual_corpus.txt
#
# Memory Chunck Size = 4096
#
# Length in byte,Number of length,Total % of Length
#
1288,0,99.9961
1289,0,99.9961
1290,0,99.9961
1291,0,99.9961
1292,0,99.9961
1293,1,99.9965
1294,0,99.9965
1295,0,99.9965
1296,0,99.9965
1297,0,99.9965
1298,0,99.9965
1299,0,99.9965
1300,0,99.9965
1301,0,99.9965
1302,0,99.9965
1303,0,99.9965
1304,0,99.9965
1305,0,99.9965
1306,0,99.9965
1307,0,99.9965
1308,0,99.9965
1309,0,99.9965
1310,0,99.9965
1311,0,99.9965
1312,0,99.9965
1313,0,99.9965
1314,0,99.9965
1315,0,99.9965
1316,0,99.9965
1317,0,99.9965
1318,0,99.9965
1319,0,99.9965
1320,0,99.9965
1321,0,99.9965
1322,0,99.9965
1323,0,99.9965
1324,0,99.9965
1325,0,99.9965
1326,0,99.9965
1327,0,99.9965
1328,0,99.9965
1329,0,99.9965
1330,0,99.9965
1331,0,99.9965
1332,0,99.9965
1333,0,99.9965
1334,0,99.9965
1335,0,99.9965
1336,0,99.9965
1337,0,99.9965
1338,0,99.9965
1339,0,99.9965
1340,0,99.9965
1341,1,99.9969
1342,0,99.9969
1343,0,99.9969
1344,0,99.9969
1345,0,99.9969
1346,0,99.9969
1347,0,99.9969
1348,0,99.9969
1349,0,99.9969
1350,0,99.9969
1351,0,99.9969
1352,0,99.9969
1353,0,99.9969
1354,0,99.9969
1355,0,99.9969
1356,0,99.9969
1357,0,99.9969
1358,0,99.9969
1359,0,99.9969
1360,0,99.9969
1361,0,99.9969
1362,0,99.9969
1363,0,99.9969
1364,0,99.9969
1365,0,99.9969
1366,0,99.9969
1367,0,99.9969
1368,0,99.9969
1369,0,99.9969
1370,0,99.9969
1371,0,99.9969
1372,0,99.9969
1373,0,99.9969
1374,0,99.9969
1375,0,99.9969
1376,0,99.9969
1377,0,99.9969
1378,0,99.9969
1379,0,99.9969
1380,0,99.9969
1381,0,99.9969
1382,0,99.9969
1383,0,99.9969
1384,0,99.9969
1385,0,99.9969
1386,0,99.9969
1387,0,99.9969
1388,0,99.9969
1389,0,99.9969
1390,0,99.9969
1391,0,99.9969
1392,0,99.9969
1393,0,99.9969
1394,0,99.9969
1395,0,99.9969
1396,0,99.9969
1397,0,99.9969
1398,0,99.9969
1399,0,99.9969
1400,0,99.9969
1401,0,99.9969
1402,0,99.9969
1403,0,99.9969
1404,0,99.9969
1405,0,99.9969
1406,0,99.9969
1407,0,99.9969
1408,0,99.9969
1409,0,99.9969
1410,0,99.9969
1411,0,99.9969
1412,0,99.9969
1413,0,99.9969
1414,0,99.9969
1415,0,99.9969
1416,0,99.9969
1417,0,99.9969
1418,0,99.9969
1419,0,99.9969
1420,0,99.9969
1421,0,99.9969
1422,0,99.9969
1423,0,99.9969
1424,0,99.9969
1425,0,99.9969
1426,0,99.9969
1427,0,99.9969
1428,0,99.9969
1429,0,99.9969
1430,0,99.9969
1431,0,99.9969
1432,0,99.9969
1433,0,99.9969
1434,0,99.9969
1435,0,99.9969
1436,0,99.9969
1437,0,99.9969
1438,0,99.9969
1439,0,99.9969
1440,0,99.9969
1441,0,99.9969
1442,1,99.9973
1443,0,99.9973
1444,0,99.9973
1445,0,99.9973
1446,0,99.9973
1447,0,99.9973
1448,0,99.9973
1449,0,99.9973
1450,0,99.9973
1451,0,99.9973
1452,0,99.9973
